model,accuracy,precision,recall,f1,auc,regression_MAE,regression_RMSE,regression_R2,regression_Adjusted_R2
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,21.09860425964044,41.70210467903215,0.348162572160543,0.30913039085279115
Decision Tree,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277,21.09860425964044,41.70210467903215,0.348162572160543,0.30913039085279115
Random Forest,0.8033707865168539,0.7619047619047619,0.7058823529411765,0.732824427480916,0.8236631016042781,21.09860425964044,41.70210467903215,0.348162572160543,0.30913039085279115
